"filename", "language", "Markdown", "HTML", "XML", "JavaScript", "CSS", "TypeScript", "comment", "blank", "total"
"d:\Program\Github\School-Treasure-Seeking-Program\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 12, 32
"d:\Program\Github\School-Treasure-Seeking-Program\designer\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Program\Github\School-Treasure-Seeking-Program\designer\answer-checker.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 15, 2, 50
"d:\Program\Github\School-Treasure-Seeking-Program\designer\array.ts", "TypeScript", 0, 0, 0, 0, 0, 354, 43, 22, 419
"d:\Program\Github\School-Treasure-Seeking-Program\designer\array_translate.ts", "TypeScript", 0, 0, 0, 0, 0, 154, 11, 4, 169
"d:\Program\Github\School-Treasure-Seeking-Program\designer\assets\民法典.html", "HTML", 0, 4864, 0, 0, 0, 0, 0, 3, 4867
"d:\Program\Github\School-Treasure-Seeking-Program\designer\destiny-and-destination.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 14, 8, 91
"d:\Program\Github\School-Treasure-Seeking-Program\designer\law.ts", "TypeScript", 0, 0, 0, 0, 0, 146, 1, 8, 155
"d:\Program\Github\School-Treasure-Seeking-Program\designer\math.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 1, 4, 34
"d:\Program\Github\School-Treasure-Seeking-Program\designer\nise-code.ts", "TypeScript", 0, 0, 0, 0, 0, 202, 4, 12, 218
"d:\Program\Github\School-Treasure-Seeking-Program\designer\queens-of-numbers.ts", "TypeScript", 0, 0, 0, 0, 0, 394, 56, 21, 471
"d:\Program\Github\School-Treasure-Seeking-Program\designer\tes-seconds.ts", "TypeScript", 0, 0, 0, 0, 0, 108, 1, 10, 119
"d:\Program\Github\School-Treasure-Seeking-Program\designer\truth-false-and-myth.ts", "TypeScript", 0, 0, 0, 0, 0, 948, 49, 18, 1015
"d:\Program\Github\School-Treasure-Seeking-Program\designer\web-of-data.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 20, 8, 146
"d:\Program\Github\School-Treasure-Seeking-Program\designer\wifi-password.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 2, 33
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Array.html", "HTML", 0, 257, 0, 0, 0, 0, 0, 7, 264
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Destiny-and-Destination.html", "HTML", 0, 147, 0, 0, 0, 0, 0, 8, 155
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Invitation.html", "HTML", 0, 165, 0, 0, 0, 0, 0, 9, 174
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Law.html", "HTML", 0, 116, 0, 0, 0, 0, 0, 7, 123
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Letter-to-Riddolver.html", "HTML", 0, 169, 0, 0, 0, 0, 0, 4, 173
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Life-for-Riddle.html", "HTML", 0, 184, 0, 0, 0, 0, 0, 9, 193
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Math.html", "HTML", 0, 89, 0, 0, 0, 0, 0, 7, 96
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Nise-Code.html", "HTML", 0, 237, 0, 0, 0, 0, 1, 7, 245
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Number.html", "HTML", 0, 142, 0, 0, 0, 0, 0, 8, 150
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Psychology-Test-Real.html", "HTML", 0, 212, 0, 0, 0, 0, 0, 8, 220
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Psychology-Test.html", "HTML", 0, 107, 0, 0, 0, 0, 0, 5, 112
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Queens-of-Numbers.html", "HTML", 0, 404, 0, 0, 0, 0, 0, 8, 412
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\README.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 5, 57
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Ten-Seconds.html", "HTML", 0, 191, 0, 0, 0, 0, 0, 9, 200
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Treasure-Hunter-Final.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 6, 85
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Treasure-Hunter.html", "HTML", 0, 117, 0, 0, 0, 0, 0, 8, 125
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Truth-False-and-Myth.html", "HTML", 0, 778, 0, 0, 0, 0, 0, 12, 790
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Ways.html", "HTML", 0, 146, 0, 0, 0, 0, 0, 8, 154
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\Web-of-Data.html", "HTML", 0, 285, 0, 0, 0, 0, 0, 10, 295
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\WiFi-Password.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 7, 99
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\assets\destiny-and-destination.svg", "XML", 0, 0, 2067, 0, 0, 0, 1, 38, 2106
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\list.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\scripts\mmpi-test.js", "JavaScript", 0, 0, 0, 232, 0, 0, 13, 18, 263
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\scripts\notes.js", "JavaScript", 0, 0, 0, 61, 0, 0, 11, 11, 83
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\scripts\ten-second.js", "JavaScript", 0, 0, 0, 160, 0, 0, 8, 15, 183
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\scripts\verify.js", "JavaScript", 0, 0, 0, 107, 0, 0, 17, 8, 132
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\styles\mmpi-test.css", "CSS", 0, 0, 0, 0, 95, 0, 1, 9, 105
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\styles\queens-of-numbres.css", "CSS", 0, 0, 0, 0, 70, 0, 0, 3, 73
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\styles\style.css", "CSS", 0, 0, 0, 0, 459, 0, 7, 21, 487
"d:\Program\Github\School-Treasure-Seeking-Program\riddles\test.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 9, 60
"d:\Program\Github\School-Treasure-Seeking-Program\solves\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 2, 5
"Total", "-", 76, 8832, 2067, 560, 624, 2586, 274, 422, 15441
